ticker,bucket,db_close,fh_price,price_pct_diff,db_target_mean,fh_target_mean,target_mean_pct_diff,db_target_high,fh_target_high,target_high_pct_diff,db_target_low,fh_target_low,target_low_pct_diff,db_num_analysts,fh_num_analysts,fh_analyst_src,analyst_cnt_diff,db_market_cap,fh_market_cap,market_cap_pct_diff,db_pe_ttm,fh_pe_ttm,pe_pct_diff,db_eps_ttm,fh_eps_ttm,eps_pct_diff,db_roe_pct,fh_roe_pct,roe_pct_diff,db_net_margin_pct,fh_net_margin_pct,net_margin_pct_diff,acc_quote,acc_profile2,acc_metric,acc_price_target,acc_recommendation
BPOP,mid,160.95,160.97,0.012426219322777404,171.22221,,,180.0,,,163.0,,,9.0,15.0,recommendation,6.0,10387344264.0,10387344602.77029,3.2613753984148866e-06,11.23272138648288,11.5245,2.597577234206469,13.8879969183359,13.5714,2.2796442150552827,14.638023650565543,14.64,0.013501477259745995,20.43337301377692,25.16258,23.144524318302597,ok,ok,ok,premium,ok
NPK,small/low-cov,129.84,129.86,0.015403573629089827,,,,,,,,,,,,,,930439023.0,930439037.5333487,1.5619883001771457e-06,28.990604672897195,28.816,0.60228020376695,4.483866461796341,4.4886,0.1055682242990557,8.315302812372705,8.32,0.05648847352024337,6.190529454192011,6.19,0.008552647975076186,ok,ok,ok,premium,empty
TRST,small/low-cov,55.25,55.27,0.03619909502263009,,,,,,,,,,,6.0,recommendation,,965483308.0,965483222.4038986,8.865622087299348e-06,15.545860135873438,15.2645,1.809871782032664,3.5449952282041206,3.4171,3.607768698433813,9.210717759041865,9.21,0.007792650482198142,22.425396058766918,34.6737,54.61800500261293,ok,ok,ok,premium,ok
SAFT,small/low-cov,71.81,71.83,0.027851274195788915,,,,,,,,,,,6.0,recommendation,,1054417396.0,1054417401.9546404,5.64732752994979e-07,16.44488316993464,16.7156,1.646207074066024,4.347856975397666,4.2592,2.0390959477124304,7.161393504292536,7.16,0.019458563360617787,4.965618941761347,4.95,0.3145416904625965,ok,ok,ok,premium,ok
TR,small/low-cov,38.88,38.89,0.025720164609048378,,,,,,,,,,,,,,2922655789.0,2931031298.044399,0.286571859605284,29.269295067984544,29.4799,0.7195422080589209,1.3276711963762324,1.3275,0.012894485976633062,10.767160888589245,10.77,0.026368245446792102,13.547260097062303,13.55,0.020224775475390287,ok,ok,ok,premium,empty
CRVL,small/low-cov,60.34,60.36,0.03314550878355323,,,,,,,,,,,,,,3058707008.0,3058706148.410594,2.8103031894367334e-05,28.573243674327557,28.2917,0.9853402628575881,2.1572629521016617,2.1378999999999997,0.8975703255274543,29.918482276368536,29.92,0.005072863046480203,11.511830131023956,11.51,0.015897828608710897,ok,ok,ok,premium,empty
NHC,small/low-cov,197.72,197.74,0.010115314586288808,,,,,,,,,,,,,,3088307312.0,3088315241.9896913,0.00025677463057010295,24.625673642119565,24.9545,1.3352989350025817,7.957142730294639,7.877599999999999,0.9996393553656231,11.681561798562086,11.68,0.01336977528363225,8.113988325073928,8.1,0.17239764852386155,ok,ok,ok,premium,empty
JOE,small/low-cov,64.92,64.94,0.030807147258157766,,,,,,,,,,,8.0,recommendation,,3727040710.0,3727040545.2616997,4.4200832011702475e-06,33.3118796178378,33.6421,0.9912991579897816,1.9500550778051953,1.9389,0.5720391148003032,14.790542412687522,14.790000000000001,0.0036672940882518075,21.636473126913234,21.64,0.016300591441492103,ok,ok,ok,premium,ok
NEU,small/low-cov,833.33,833.35,0.002400009600036217,,,,,,,,,,,8.0,recommendation,,7664985173.0,7664985129.212157,5.712710691834409e-07,19.21671908174218,18.5742,3.3435420427862588,43.72130312287573,43.9442,0.5098129772066357,24.122724614672844,24.12,0.011294804862904037,15.251453261765297,15.25,0.009528677302774837,ok,ok,ok,premium,ok
COKE,small/low-cov,187.89,187.91,0.01064452605248296,,,,,,,,,,,6.0,recommendation,,14759022358.0,12506766118.233332,15.260199389466012,18.08166521182244,21.6183,19.5592316678067,10.236335969708229,6.4807,36.68926050123849,122.89800578878886,39.61,67.77002218565426,7.719100820761637,7.72,0.011648756237823518,ok,ok,ok,premium,ok
